tender_id,department,category,company_id,company_name,bid_amount,estimated_value,winner,director_name,date
TND-1000,Defense,Medical Equipment,COMP004,Delta Engineering Co,18254832.21,19039735.88,1,Vikram Singh,2024-01-26
TND-1000,Defense,Medical Equipment,COMP003,CrestLine Solutions,18687159.09,19039735.88,0,Neha Gupta,2024-01-26
TND-1000,Defense,Medical Equipment,COMP012,Lumencraft Industries,18350049.26,19039735.88,0,Lakshmi Rao,2024-01-26
TND-1000,Defense,Medical Equipment,COMP002,BlueHorizon Services,18350030.89,19039735.88,0,Amit Patel,2024-01-26
TND-1001,Public Works,Consulting,COMP009,InfraPrime Ltd,3203452.87,3375138.8,1,Pooja Bhat,2024-08-26
TND-1001,Public Works,Consulting,COMP004,Delta Engineering Co,3313143.27,3375138.8,0,Vikram Singh,2024-08-26
TND-1001,Public Works,Consulting,COMP012,Lumencraft Industries,3220328.56,3375138.8,0,Amit Patel,2024-08-26
TND-1002,IT & Digital,Supplies,COMP012,Lumencraft Industries,46273965.68,48510537.68,1,Lakshmi Rao,2024-01-07
TND-1002,IT & Digital,Supplies,COMP007,GlobalEdge Infra,46516518.37,48510537.68,0,Deepa Verma,2024-01-07
TND-1002,IT & Digital,Supplies,COMP006,FusionTech Systems,46519583.35,48510537.68,0,Ravi Nair,2024-01-07
TND-1002,IT & Digital,Supplies,COMP005,Evergreen Constructions,46754059.49,48510537.68,0,Suresh Iyer,2024-01-07
TND-1003,Public Works,Software,COMP010,JetStream Solutions,24611135.46,26475443.37,0,Rajesh Kumar,2024-04-09
TND-1003,Public Works,Software,COMP005,Evergreen Constructions,23493480.88,26475443.37,0,Kavita Joshi,2024-04-09
TND-1003,Public Works,Software,COMP013,Meridian Works,26040077.7,26475443.37,0,Kavita Joshi,2024-04-09
TND-1003,Public Works,Software,COMP001,Apex Infrastructure Ltd,22288303.24,26475443.37,1,Priya Shah,2024-04-09
TND-1003,Public Works,Software,COMP008,HighPoint Services,23500752.43,26475443.37,0,Lakshmi Rao,2024-04-09
TND-1004,IT & Digital,Consulting,COMP013,Meridian Works,17457576.09,18634911.24,0,Kavita Joshi,2024-03-12
TND-1004,IT & Digital,Consulting,COMP005,Evergreen Constructions,19297434.3,18634911.24,0,Kavita Joshi,2024-03-12
TND-1004,IT & Digital,Consulting,COMP002,BlueHorizon Services,16024199.95,18634911.24,1,Suman Reddy,2024-03-12
TND-1004,IT & Digital,Consulting,COMP004,Delta Engineering Co,17782742.93,18634911.24,0,Anand Mehta,2024-03-12
